seq;name;first;last
1;Pearl Griffin;Adelaide;Hopkins
2;Gregory Perry;Dorothy;Stanley
3;Noah Young;Johnny;Nichols
4;John Ray;Philip;Long
5;Eliza Lawson;Rhoda;Hawkins
6;Fanny Pearson;Cameron;Malone
7;Christina Haynes;Walter;Miller
8;Cora Rowe;Tom;Cummings
9;Carl Green;Timothy;Murray
10;Susan Patton;Alma;Wheeler
11;Justin Lowe;Ralph;Stephens
12;Franklin Watkins;Lloyd;Franklin
13;Glen West;Rachel;Joseph
14;Frances Henderson;Susan;Luna
15;Roy Simmons;Lillie;Goodman
16;Mike Barber;Louise;Chavez
17;Cecilia Hoffman;Leonard;James
18;Estelle Pierce;Gavin;Barrett
19;Clayton Zimmerman;Douglas;Wheeler
20;Arthur Wells;Ann;Burns
